YEAR,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_EDMONTON,MEAN_TEMPERATURE_HALIFAX,MEAN_TEMPERATURE_MONCTON,MEAN_TEMPERATURE_MONTREAL,MEAN_TEMPERATURE_OTTAWA,MEAN_TEMPERATURE_QUEBEC,MEAN_TEMPERATURE_SASKATOON,MEAN_TEMPERATURE_STJOHNS,MEAN_TEMPERATURE_TORONTO,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WHITEHORSE,MEAN_TEMPERATURE_WINNIPEG
2000,3.708493151,1.821369863,7.161643836,5.734794521,6.399168975,6.069315068,4.664383562,2.146027397,5.894520548,8.284657534,10.14657534,0.412876712,3.543835616
2001,5.006849315,3.362465753,7.269315068,6.162465753,8.016712329,7.606575342,5.427123288,3.788219178,5.329315068,9.702739726,10.25753425,0.230410959,4.634657534
2002,3.727123288,1.756438356,6.643406593,5.530410959,7.546986301,6.928219178,4.693972603,1.94109589,4.748767123,9.476712329,10.35247253,0.536164384,3.267534247
2003,4.303287671,1.720273973,6.809041096,5.466027397,6.339452055,5.836164384,4.024657534,2.706027397,5.410684932,7.983835616,10.96164384,0.119726027,3.800821918
2004,4.937978142,2.37431694,6.090437158,5.091803279,6.226775956,5.81010929,3.968032787,2.067213115,5.523770492,8.24863388,11.45163934,1.098907104,2.675956284
2005,4.935068493,3.131506849,6.986575342,5.86,7.463013699,6.971506849,5.095342466,2.829315068,5.701917808,9.066849315,10.85753425,1.255616438,4.200273973
2006,5.32,3.34739726,7.895616438,7.083013699,8.215890411,7.683287671,6.116164384,3.367945205,6.397534247,9.791780822,10.69753425,-1.135616438,5.38739726
2007,4.838082192,2.329863014,6.261917808,5.301917808,6.934383562,6.502465753,4.572876712,2.180453258,5.048219178,9.004383562,10.24767123,-0.594362018,3.630136986
2008,4.528961749,2.178961749,7.083606557,5.784153005,7.063387978,6.321038251,4.643169399,1.754061625,5.736612022,8.272404372,9.851912568,-1.301912568,2.577185792
2009,3.994246575,0.863013699,6.649041096,5.575616438,6.728082192,6.072328767,4.584383562,1.162258953,5.813150685,8.033150685,10.26986301,-0.442465753,3.707123288
2010,4.584615385,2.392032967,8.285164835,7.408241758,8.514423077,8.080494505,6.733241758,3.166208791,6.495604396,9.652472527,11.01318681,0.996428571,5.829752066
2011,4.215342466,1.963835616,7.380769231,6.292876712,8.027123288,7.54630137,5.645205479,2.966027397,5.584109589,9.179178082,9.957534247,-0.222651934,5.219327731
2012,5.198265896,3.097916667,8.274712644,1.563354037,8.551639344,7.752077562,5.776775956,-7.658441558,6.411046512,10.5352459,10.37076503,-0.182111437,6.307627119
2013,5.698688525,1.823463687,7.181024096,,7.309444444,6.055587393,4.579178082,,6.062280702,8.393314763,10.34705882,0.227384615,3.034357542
2014,4.408219178,1.943835616,7.099178082,,7.45494186,5.875890411,4.153424658,,5.659833795,7.483013699,11.01291209,0.863561644,2.776648352
2015,6.280821918,3.455890411,6.476438356,,7.161281337,6.420273973,4.351232877,,4.64198895,8.645753425,11.43269231,1.491506849,5.652341598
2016,6.238461538,4.063636364,7.344077135,,8.309695291,7.128142077,5.026592798,,5.79010989,10.08770492,11.19614325,2.334615385,6.027094972
2017,5.098270893,2.836187845,7.529805014,,7.751675978,6.551515152,4.645378151,,5.461944444,9.336813187,10.23102493,-0.18718663,5.005833333
2018,4.378932584,1.811813187,7.364705882,-2.8328125,7.522379603,6.538186813,4.131767956,-8.144444444,5.538920455,9.1,10.79642857,0.558630137,4.100277778
2019,3.690782123,1.496153846,6.755833333,5.454972376,6.753719008,5.489444444,3.529945055,1.068644068,4.846556474,8.14738292,10.35055249,1.695303867,3.364917127
